time,vin,clk,v_code
5.102500004999999799e-11,5.000185336819670257e-01,5.102500005000000227e-01,5.092864125122189556e-01
1.000051025000050052e-06,8.288620107137759652e-01,5.102500005009700246e-01,8.416422287390029622e-01
2.000051025000049795e-06,9.745934159320029933e-01,5.102500004988520521e-01,9.882697947214079681e-01
3.000051025000049961e-06,8.560687476932370421e-01,5.102500004988520521e-01,8.690127077223850360e-01
4.000051025000049704e-06,5.392831554983630316e-01,5.102500005073230538e-01,5.493646138807429802e-01
5.000051025000050294e-06,2.006244987465110041e-01,5.102500005073230538e-01,2.072336265884650031e-01
6.000051025000050037e-06,2.865967253402040144e-02,5.102500004988520521e-01,3.323558162267840205e-02
7.000051025000049780e-06,1.191395832622949985e-01,5.102500005073230538e-01,1.251221896383190035e-01
8.000051025000049523e-06,4.216845477474879811e-01,5.102500004988520521e-01,4.301075268817199926e-01
9.000051025000050113e-06,7.678359618978469747e-01,5.102500004988520521e-01,7.800586510263930462e-01
1.000005102499999988e-05,9.648549244681300374e-01,5.102500004988520521e-01,9.784946236559139976e-01
1.100005102500000047e-05,9.030402560958900038e-01,5.102500004988520521e-01,9.169110459433039706e-01
1.200005102500009932e-05,6.168106844704189795e-01,5.102500004988520521e-01,6.275659824046919688e-01
1.300005102499999996e-05,2.655403183885849949e-01,5.102500004988520521e-01,2.727272727272729846e-01
1.400005102500000055e-05,4.481831805880780173e-02,5.102500004988520521e-01,4.985337243401759960e-02
1.500005102499999944e-05,7.754383710330579882e-02,5.102500004988520521e-01,8.308895405669600165e-02
1.600005102500000003e-05,3.454951369259819938e-01,5.102500004819120472e-01,3.538611925708700090e-01
1.700005102500000062e-05,6.994755451925059875e-01,5.102500004819120472e-01,7.106549364613879982e-01
1.800005102500000121e-05,9.423869361618819607e-01,5.102500004819120472e-01,9.560117302052789645e-01
1.900005102499999842e-05,9.389749885125899809e-01,5.102500004819120472e-01,9.530791788856309843e-01
2.000005102499999901e-05,6.911394923773529486e-01,5.102500004819120472e-01,7.028347996089929772e-01
2.100005102499999960e-05,3.368765363520310196e-01,5.102500004819120472e-01,3.450635386119260128e-01
2.200005102500000019e-05,7.344157023395349315e-02,5.102500004819120472e-01,7.917888563049850503e-02
2.300005102500000078e-05,4.751654834592049931e-02,5.102500004819120472e-01,5.278592375366569778e-02
2.400005102500000137e-05,2.735366572253710160e-01,5.102500004819120472e-01,2.805474095796680056e-01
2.500005102499999857e-05,6.256527289534550285e-01,5.102500004819120472e-01,6.363636363636360205e-01
2.600005102499999916e-05,9.078047100352559795e-01,5.102500004819120472e-01,9.208211143695009815e-01
2.700005102499999975e-05,9.628889152197529500e-01,5.102500004819120472e-01,9.765395894428150481e-01
2.800005102500000034e-05,7.602341735995920002e-01,5.102500004819120472e-01,7.722385141739980252e-01
2.900005102500000093e-05,4.126796955182610027e-01,5.102500004819120472e-01,4.213098729227759964e-01
3.000005102500000152e-05,1.137456154888060039e-01,5.102500004819120472e-01,1.192570869990220023e-01
3.100005102500000211e-05,2.987997842548709843e-02,5.102500004819120472e-01,3.519061583577710178e-02
3.200005102500010095e-05,2.077796056586249940e-01,5.102500005496739544e-01,2.140762463343109934e-01
3.300005102500009816e-05,5.483890628228409447e-01,5.102500005496739544e-01,5.581622678396870318e-01
3.400005102500000049e-05,8.620552390426380329e-01,5.102500004819120472e-01,8.748778103616809965e-01
3.500005102500009934e-05,9.741271818994320375e-01,5.102500005496739544e-01,9.882697947214079681e-01
3.600005102500000167e-05,8.222026528247150523e-01,5.102500004819120472e-01,8.347996089931569719e-01
3.700005102500010052e-05,4.908740169195610070e-01,5.102500005496739544e-01,5.004887585532750149e-01
3.800005102500009772e-05,1.646267756868060039e-01,5.102500005496739544e-01,1.710654936461389886e-01
3.900005102500000005e-05,2.511708374258459983e-02,5.102500004819120472e-01,3.030303030303030040e-02
4.000005102500009890e-05,1.500246605368119879e-01,5.102500005496739544e-01,1.564027370478980050e-01
4.100005102500000123e-05,4.698003200070359764e-01,5.102500004819120472e-01,4.789833822091890125e-01
4.200005102500010008e-05,8.063913177999060267e-01,5.102500005496739544e-01,8.191593352883680401e-01
4.300005102500000241e-05,9.723820420425930422e-01,5.102500005496739544e-01,9.863147605083090186e-01
