time,vin,clk,v_code,code
0.000000000000000000e+00,5.000000000000000000e-01,1.000000000000000000e+00,5.102639296187683193e-01,5.220000000000000000e+02
9.999999999999999547e-07,8.288486369999999992e-01,1.000000000000000000e+00,8.416422287390029622e-01,8.610000000000000000e+02
1.999999999999999909e-06,9.745926489999999776e-01,1.000000000000000000e+00,9.892473118279569988e-01,1.012000000000000000e+03
3.000000000000000076e-06,8.560810140000000290e-01,1.000000000000000000e+00,8.699902248289345108e-01,8.900000000000000000e+02
3.999999999999999819e-06,5.393016259999999784e-01,1.000000000000000000e+00,5.493646138807428692e-01,5.620000000000000000e+02
5.000000000000000409e-06,2.006388879999999875e-01,1.000000000000000000e+00,2.082111436950146721e-01,2.130000000000000000e+02
6.000000000000000152e-06,2.866196910000000028e-02,1.000000000000000000e+00,3.421309872922775885e-02,3.500000000000000000e+01
6.999999999999999895e-06,1.191285079999999941e-01,1.000000000000000000e+00,1.251221896383186705e-01,1.280000000000000000e+02
7.999999999999999638e-06,4.216662680000000107e-01,1.000000000000000000e+00,4.310850439882698004e-01,4.410000000000000000e+02
9.000000000000000228e-06,7.678206549999999631e-01,1.000000000000000000e+00,7.800586510263929352e-01,7.980000000000000000e+02
1.000000000000000082e-05,9.648511140000000097e-01,1.000000000000000000e+00,9.794721407624633613e-01,1.002000000000000000e+03
1.099999999999999971e-05,9.030500639999999857e-01,1.000000000000000000e+00,9.169110459433039706e-01,9.380000000000000000e+02
1.200000000000000030e-05,6.168286490000000066e-01,1.000000000000000000e+00,6.275659824046920798e-01,6.420000000000000000e+02
1.299999999999999920e-05,2.655564369999999785e-01,0.000000000000000000e+00,2.727272727272727071e-01,2.790000000000000000e+02
1.399999999999999979e-05,4.482361609999999802e-02,1.000000000000000000e+00,5.083088954056695641e-02,5.200000000000000000e+01
1.500000000000000038e-05,7.753536449999999525e-02,1.000000000000000000e+00,8.308895405669598777e-02,8.500000000000000000e+01
1.599999999999999928e-05,3.454776110000000178e-01,1.000000000000000000e+00,3.548387096774193727e-01,3.630000000000000000e+02
1.699999999999999987e-05,6.994587249999999479e-01,1.000000000000000000e+00,7.116324535679374730e-01,7.280000000000000000e+02
1.800000000000000046e-05,9.423801870000000358e-01,1.000000000000000000e+00,9.560117302052786314e-01,9.780000000000000000e+02
1.900000000000000105e-05,9.389820679999999475e-01,1.000000000000000000e+00,9.530791788856305402e-01,9.750000000000000000e+02
2.000000000000000164e-05,6.911564590000000008e-01,1.000000000000000000e+00,7.028347996089931993e-01,7.190000000000000000e+02
2.099999999999999884e-05,3.368939429999999735e-01,0.000000000000000000e+00,3.450635386119257353e-01,3.530000000000000000e+02
2.199999999999999943e-05,7.344972460000000203e-02,1.000000000000000000e+00,7.917888563049853279e-02,8.100000000000000000e+01
2.300000000000000002e-05,4.751091009999999781e-02,1.000000000000000000e+00,5.278592375366569084e-02,5.400000000000000000e+01
2.400000000000000061e-05,2.735203660000000148e-01,1.000000000000000000e+00,2.815249266862169808e-01,2.880000000000000000e+02
2.500000000000000120e-05,6.256348550000000452e-01,1.000000000000000000e+00,6.363636363636363535e-01,6.510000000000000000e+02
2.599999999999999840e-05,9.077952070000000484e-01,0.000000000000000000e+00,9.217986314760507893e-01,9.430000000000000000e+02
2.699999999999999899e-05,9.628930730000000437e-01,1.000000000000000000e+00,9.765395894428152701e-01,9.990000000000000000e+02
2.799999999999999958e-05,7.602496779999999843e-01,1.000000000000000000e+00,7.732160312805473890e-01,7.910000000000000000e+02
2.900000000000000017e-05,4.126979130000000273e-01,1.000000000000000000e+00,4.213098729227761630e-01,4.310000000000000000e+02
3.000000000000000076e-05,1.137564030000000059e-01,1.000000000000000000e+00,1.202346041055718517e-01,1.230000000000000000e+02
3.100000000000000135e-05,2.987732889999999975e-02,1.000000000000000000e+00,3.519061583577712260e-02,3.600000000000000000e+01
3.199999999999999855e-05,2.077649940000000084e-01,1.000000000000000000e+00,2.150537634408602183e-01,2.200000000000000000e+02
3.300000000000000253e-05,5.483706259999999721e-01,1.000000000000000000e+00,5.591397849462365066e-01,5.720000000000000000e+02
3.399999999999999973e-05,8.620432420000000429e-01,1.000000000000000000e+00,8.758553274682306933e-01,8.960000000000000000e+02
3.499999999999999693e-05,9.741283050000000276e-01,0.000000000000000000e+00,9.882697947214076351e-01,1.011000000000000000e+03
3.600000000000000091e-05,8.222162699999999713e-01,1.000000000000000000e+00,8.357771260997067797e-01,8.550000000000000000e+02
3.699999999999999811e-05,4.908925470000000124e-01,0.000000000000000000e+00,5.014662756598240456e-01,5.130000000000000000e+02
3.800000000000000209e-05,1.646399010000000052e-01,1.000000000000000000e+00,1.710654936461387943e-01,1.750000000000000000e+02
3.899999999999999929e-05,2.511749560000000117e-02,1.000000000000000000e+00,3.030303030303030387e-02,3.100000000000000000e+01
4.000000000000000327e-05,1.500121299999999935e-01,1.000000000000000000e+00,1.564027370478983381e-01,1.600000000000000000e+02
4.100000000000000047e-05,4.697818240000000145e-01,1.000000000000000000e+00,4.789833822091886795e-01,4.900000000000000000e+02
4.199999999999999768e-05,8.063771549999999566e-01,0.000000000000000000e+00,8.191593352883675960e-01,8.380000000000000000e+02
4.300000000000000165e-05,9.723800989999999977e-01,1.000000000000000000e+00,9.872922776148582713e-01,1.010000000000000000e+03
4.399999999999999886e-05,8.753593549999999501e-01,1.000000000000000000e+00,8.885630498533724220e-01,9.090000000000000000e+02
4.500000000000000283e-05,5.693365780000000376e-01,1.000000000000000000e+00,5.806451612903226200e-01,5.940000000000000000e+02
4.600000000000000004e-05,2.247068339999999942e-01,1.000000000000000000e+00,2.316715542521994020e-01,2.370000000000000000e+02
4.699999999999999724e-05,3.336175239999999986e-02,0.000000000000000000e+00,3.812316715542522078e-02,3.900000000000000000e+01
4.800000000000000122e-05,1.018432650000000023e-01,1.000000000000000000e+00,1.075268817204301092e-01,1.100000000000000000e+02
4.899999999999999842e-05,3.920205110000000159e-01,1.000000000000000000e+00,4.007820136852394688e-01,4.100000000000000000e+02
5.000000000000000240e-05,7.423212959999999638e-01,1.000000000000000000e+00,7.546432062561094778e-01,7.720000000000000000e+02
5.099999999999999960e-05,9.576963280000000411e-01,1.000000000000000000e+00,9.726295210166178151e-01,9.950000000000000000e+02
5.199999999999999680e-05,9.182236719999999908e-01,0.000000000000000000e+00,9.325513196480937905e-01,9.540000000000000000e+02
5.300000000000000078e-05,6.458819089999999763e-01,1.000000000000000000e+00,6.568914956011729922e-01,6.720000000000000000e+02
5.399999999999999798e-05,2.923123429999999745e-01,1.000000000000000000e+00,3.000977517106549475e-01,3.070000000000000000e+02
5.500000000000000196e-05,5.438434019999999897e-02,1.000000000000000000e+00,5.962854349951124400e-02,6.100000000000000000e+01
5.599999999999999916e-05,6.457744649999999642e-02,1.000000000000000000e+00,7.038123167155424520e-02,7.200000000000000000e+01
5.700000000000000314e-05,3.172160869999999799e-01,1.000000000000000000e+00,3.255131964809384049e-01,3.330000000000000000e+02
5.800000000000000034e-05,6.716297580000000211e-01,1.000000000000000000e+00,6.832844574780058133e-01,6.990000000000000000e+02
5.899999999999999754e-05,9.304790899999999532e-01,1.000000000000000000e+00,9.442815249266862665e-01,9.660000000000000000e+02
6.000000000000000152e-05,9.496354339999999450e-01,1.000000000000000000e+00,9.638318670576735414e-01,9.860000000000000000e+02
6.099999999999999872e-05,7.184324380000000065e-01,1.000000000000000000e+00,7.311827956989247479e-01,7.480000000000000000e+02
6.200000000000000270e-05,3.656051289999999732e-01,1.000000000000000000e+00,3.743890518084066477e-01,3.830000000000000000e+02
6.299999999999999990e-05,8.760958060000000047e-02,1.000000000000000000e+00,9.384164222873900285e-02,9.600000000000000000e+01
6.399999999999999710e-05,3.923515469999999672e-02,1.000000000000000000e+00,4.496578690127077393e-02,4.600000000000000000e+01
6.499999999999999431e-05,2.474169830000000070e-01,0.000000000000000000e+00,2.551319648093841597e-01,2.610000000000000000e+02
6.600000000000000506e-05,5.962383430000000040e-01,1.000000000000000000e+00,6.070381231671554412e-01,6.210000000000000000e+02
6.700000000000000226e-05,8.914736960000000376e-01,1.000000000000000000e+00,9.051808406647116056e-01,9.260000000000000000e+02
6.799999999999999946e-05,9.687344660000000163e-01,1.000000000000000000e+00,9.833822091886608163e-01,1.006000000000000000e+03
6.899999999999999667e-05,7.850014560000000419e-01,0.000000000000000000e+00,7.976539589442814826e-01,8.160000000000000000e+02
6.999999999999999387e-05,4.425781590000000265e-01,0.000000000000000000e+00,4.525904203323558028e-01,4.630000000000000000e+02
7.100000000000000462e-05,1.321276399999999906e-01,1.000000000000000000e+00,1.388074291300097629e-01,1.420000000000000000e+02
7.200000000000000182e-05,2.651035779999999856e-02,1.000000000000000000e+00,3.225806451612903136e-02,3.300000000000000000e+01
7.299999999999999903e-05,1.845345620000000131e-01,1.000000000000000000e+00,1.915933528836754607e-01,1.960000000000000000e+02
7.399999999999999623e-05,5.182115569999999893e-01,0.000000000000000000e+00,5.278592375366568668e-01,5.400000000000000000e+02
7.499999999999999343e-05,8.417482630000000521e-01,0.000000000000000000e+00,8.553274682306940546e-01,8.750000000000000000e+02
7.600000000000000418e-05,9.749977650000000162e-01,1.000000000000000000e+00,9.892473118279569988e-01,1.012000000000000000e+03
7.700000000000000139e-05,8.437660500000000452e-01,1.000000000000000000e+00,8.572825024437927821e-01,8.770000000000000000e+02
7.799999999999999859e-05,5.211236169999999834e-01,1.000000000000000000e+00,5.317693059628543217e-01,5.440000000000000000e+02
7.899999999999999579e-05,1.867194450000000117e-01,0.000000000000000000e+00,1.935483870967741882e-01,1.980000000000000000e+02
8.000000000000000654e-05,2.675150919999999891e-02,1.000000000000000000e+00,3.225806451612903136e-02,3.300000000000000000e+01
